category,title,start,end,place,description,pictureName
0,みかん祭,12/02/1630,12/02/1800,民青池,みかんを投げ合う。みかんを食べたら、ダメだよ,mikan.png
0,吉田と団交,12/02/1800,12/02/2200,軟鉄庵,団交の真似事をする,yoshida.jpg
0,ペットボトルロケットを飛ばそー,12/02/2300,,寮外,ペットボトルロケットを作って飛ばす,rocket.png
0,夜の登山,12/02/2300,,大文字山,大文字山の頂上に登り、山頂で爆竹を鳴らす。,tozan.png
0,TRPG大会,12/03/1000,12/03/1830,食堂,昨今流行り（？）のテーブルトークポールプレイゲームをする。,TRPG.png
0,フィクション料理再現化大会,12/03/1300,12/03/1700,食堂,小説、アニメ、ゲームなどに出てくるフィクション料理を再現する企画。,fiction.png
0,ガンダム上映会 Ⅲ 14話から21話,12/03/1400,12/03/1800,ビリヤードスペース,機動戦士ガンダム鉄血のオルフェンズ第一期の上映会。,gundam.png
0,仮面舞踏会,12/03/1800,12/03/2200,音楽室,MASQUEADE,kamen.jpg
0,利き酒大会,12/03/2000,12/03/2300,食堂,利き酒をする,kikizake.png
0,熊野寮生格付けチェック,12/03/2100,12/03/2300,食堂,参加者が真の熊野寮生たるセンスを持っているか、お題を出して勝手に判断する,kakuduke.png
0,ガンダム上映会 Ⅳ 22話から25話,12/03/2300,12/03/2500,ビリヤードスペース,機動戦士ガンダム鉄血のオルフェンズ第一期の上映会。,gundam.png
0,ケーキコンパ,12/04/1000,12/04/1200,食堂,みんなで創造力あふれるケーキを作ろう！！,cake.png
0,ガールズパンツァー&爆音上映会,12/04/1300,12/04/1600,ビリヤードスペース,爆音で、ガールズパンツァーを見る,girls.png
0,2日目,12/04/1800,12/04/2200,食堂,ライブ,MusicFes.jpg
0,ファイヤーストーム,12/04/2200,,駐輪場,寮祭閉会式,FireStorm.png
1,毎日ブリーチ,,,寮内,毎日、誰かがブリーチをする,mainiti.jpg
1,マックVSモスVSロッテリア耐久バトル,,,寮内,どれが一番腐らないかを見る。多分マック！,McDo.png
1,Kumano Love,,,寮内,熊野寮を舞台とした５人の男子を相手にして、ハリーポッターのようなファンタジーなゲーム,kumanolove.png
1,ホテル穴熊荘,,,寮内,熊野寮の一室が宿になってます,anaguma.png
1,副学長になる,,,ツイッター,寮のポジキャンをし、自治について宣伝する,hukugaku.png
1,Tは哲学のTea,,,軟鉄庵など,お茶を飲んで、レコード聴いて、哲学をする。しなくても良い。,Tha.png
1,ウォーリーを探せ＠京大構内,,,京大構内,寮祭期間中、京大構内のどこかに現れる囚人の男を見つけたら、寮祭食事券１００円分プレゼント！,Wallly.png
1,√nをおぼえよう,,,,企画名通り,rootN.png
1,お金をふやす,11/18/0000,12/2/2300,寮内&寮外,自己負担で、法に触れずお金を増やす企画。スタート金額は、2000円！,okane.png
1,すき家VS吉野家VS松屋,,,寮内,みんな、結局どこの牛丼屋が好きなのか調べる企画。,sukiya.png
1,あた溜まり屋,,,ロビー,平日は、夜の寮食売り切れ後と、休日の昼に、寮生が日替わり飯を提供する企画。,atatamari.png
1,BAR KUMA,,,軟鉄庵,バー,BarKUMA.jpg
1,靴磨き,,,ロビー,クリーニング150円、染色（黒）50円で、靴磨きをする企画。,kutsu.jpg
1,わらしべ長者,,,寮内&寮外,寮祭パンフを何かと交換していく、企画名通りの企画。時計台コンパからスタート,warashibe.png
1,リアル人生ゲーム,,,食堂,毎日22時くらいにすごろくを１ターンやり、とまったマスに書いてあることをノルマに生きる。,RealJinsei.png
2,古着市,,,食堂,寮生が古着を持ち寄って、古着市を開く。,hurugi.jpg
2,粉塵爆発,,,中庭,アニメやニュースでよく見るやつを実際にやってみる！,hunjin.png
2,職質王,,,寮外,一番職質された怪しい奴が勝ち。記念にツーショットを撮ろう！！捕まったら負けだよ?,syokushitsu.png
2,自由討論,,,ロビー,好きな時に、相手を見つけて自由に討論する,jiyuu.png
2,墨染,,,中庭,衣服を黒くする,sumi.jpg
2,黒板アート♪,,,京大構内,黒板にでかい絵を描く,kokuban.jpg
2,深夜の京大鬼ごっこ,,,京大構内,深夜に鬼ごっこをする,onigokko.png
2,家畜体験,,,食堂or玄関前,企画名通り,katiku.png
2,川添を探せ,,,寮外,副学長の川添先生を見つける,kawazoe.png
2,FF15の世界に浸る,,,寮内,上映会　アニメ版と劇場版を観る,FF15.png
